i,t,rho,beta,power,flux,s_Fuel,s_Precursors,s_Structure,s_Water,s_Xenon
13300,133.00000000002402,0.08863608020095272,0.006656354551564694,9200143.283834921,1.096556774810406e-06,192.76585910286022,1.7770524417357677e-07,1960.8941677404896,41666.66665420133,0.0036878521361643195
13400,134.0000000000231,0.08869547556030459,0.006655659149184299,10053143.057960793,1.1982250480505573e-06,192.76585002485845,1.941609182933044e-07,1960.8941677404896,41666.666653050444,0.0036872654313811646
13500,135.0000000000222,0.08875965537157493,0.006654909017633255,10985907.060601303,1.309400347699627e-06,192.7658401048755,2.1215172858788218e-07,1960.8941677404896,41666.6666517928,0.0036866315972466446
13600,136.0000000000213,0.08882906631192676,0.006654099095860061,12006016.643414525,1.430986288219521e-06,192.76582926412186,2.3182291288583078e-07,1960.8941677404896,41666.66665041845,0.00368594624003321
13700,137.00000000002038,0.08890419731175363,0.006653223848229016,13121796.642245138,1.5639750992813475e-06,192.76581741630977,2.533338260620389e-07,1960.8941677404896,41666.6666489164,0.0036852045509223586
13800,138.00000000001947,0.08898558366540621,0.006652277219539273,14342392.621408693,1.7094568324419454e-06,192.76580446691452,2.768593832257397e-07,1960.8941677404896,41666.66664727462,0.003684401265773985
13900,139.00000000001856,0.08907381156239852,0.006651252585630462,15677856.959040685,1.8686296215789461e-06,192.76579031236082,3.0259166383350007e-07,1960.8941677404896,41666.666645480145,0.003683530620805559
14000,140.00000000001765,0.08916952308587846,0.006650142699118961,17139244.93522105,2.0428111355476153e-06,192.76577483912274,3.307416971429821e-07,1960.8941677404896,41666.66664351848,0.0036825863037293948
14100,141.00000000001674,0.08927342173121083,0.006648939629757659,18738722.163493518,2.2334513828466826e-06,192.76575792272683,3.6154145245032276e-07,1960.8941677404896,41666.66664137386,0.003681561399839814
14200,142.00000000001583,0.08938627850448964,0.006647634698852648,20489684.91724487,2.4421470532108945e-06,192.76573942665004,3.9524606110310625e-07,1960.8941677404896,41666.66663902897,0.003680448332477301
